Gene	LK1	LK2	LK3	LK4	LK5	LK6
A1BG	4.398758591	4.416124736	4.425378071	4.520230084	4.590987828	4.607494655
A3GALT2	4.715155356	4.481296314	4.761513223	4.563600457	4.501402913	4.6296658310000005
A4GALT	4.318909529	4.478636903	4.403358016	4.2957833789999995	4.43467505	4.306922753
A4GNT	4.524865017	4.501727555	4.386685091	4.49444608	4.439821263	4.633172851
AAAS	10.26130792	10.21533727	10.26159197	10.32636997	10.47059655	10.24773613
AACS	8.680319784	8.633332634	9.013081715	9.119733212	8.942505805	9.377149856
AADAC	4.38316565	4.410052081	4.286585038	4.353456977	4.3946649639999995	4.490666033
AADACL3	4.2900382189999995	4.249162333999999	4.275351654	4.346559095	4.34368172	4.353303841000001
AADAT	4.715155356	4.595413693999999	4.489336436	4.426517487	4.384662948	4.504060292
AAK1	4.695528379	4.670985912	4.829171261	4.734345521	4.728246525	4.564919519
AAMP	11.57205532	11.57433588	11.67811463	11.32805611	11.50105611	11.45807608
AANAT	4.276309754	4.264796237	4.34714286	4.342250257	4.3417331589999995	4.363054932
AARD	4.441215007	4.352583564	4.524117588	4.3398421460000005	4.425760863	4.370598422
AARS1	10.69767453	10.47972675	10.75193204	10.432295199999999	10.61956007	10.77494004
AARS2	5.931473557	5.533247755	5.690169986	5.596745639	6.019532747	5.701409103
AARSD1	10.15722738	10.26617791	10.20852543	9.888840186	10.23432491	10.14643762
AASDH	8.643394573	8.144897991	8.411886759	8.301196802	8.31177268	8.296673213
AASDHPPT	4.471057911	4.922121821	4.765804786	4.7132045510000005	4.520230084	4.808096755
AASS	4.588257955	4.572329948999999	4.823998519	4.381910829	4.458635548	4.488129053
AATF	9.620168557000001	9.717628503	9.737045109	9.754381524	9.774178177000001	9.498012194
AATK	8.200924916	8.922129546	8.655281576	9.124113641000001	8.814359328	9.72219054
ABAT	4.746352161	4.682919359	4.761513223	4.548939527	4.75362993	4.819590058999999
ABCA1	4.235169712	4.422328793	4.4098683780000005	4.254712842	4.404980364	4.4639233439999995
ABCA12	4.476223469	4.455715946000001	4.452819648	4.607293487	4.34368172	4.445855758
ABCA13	4.427099107	4.359760288	4.412064346	4.386685091	4.639263483	4.456019832
ABCA2	7.434777212999999	7.290759515	7.550916306	7.47435789	7.510411046000001	7.713480685
ABCA3	10.83701449	10.391052400000001	10.99095276	10.27502494	10.7199994	10.44759679
ABCA4	4.361376914	4.363208844	4.457047831000001	4.728246525	4.578474905	4.39076734
ABCA5	4.370598422	4.384967564	4.396823549	4.392659885	4.517581261	4.421306603000001
